Measure Time,Cuv. No.,Point,Check,SD: 340,SD: 380,SD: 410,SD: 450,SD: 480,SD: 520,SD: 540,SD: 570,SD: 600,SD: 660,SD: 700,SD: 750,SD: 800,OD: 340,OD: 380,OD: 410,OD: 450,OD: 480,OD: 520,OD: 540,OD: 570,OD: 600,OD: 660,OD: 700,OD: 750,OD: 800,
2026/05/15 09:05:51,5,Pw2,1,3178,5651,4140,3606,4623,4672,4411,4182,4066,5545,5023,8112,8912,1.3773,0.9536,0.9043,0.8925,0.729,0.7111,0.7719,0.8467,0.9131,0.7209,0.6812,0.5023,0.4688,Measure
2026/05/15 09:05:51,4,Pw3,1,4034,7715,5335,3637,3993,3155,2858,2516,2282,3068,1695,4618,5517,1.3594,0.9366,0.8885,0.8778,0.715,0.6977,0.7587,0.8339,0.9007,0.7091,0.6699,0.4916,0.4581,Measure
2026/05/15 09:05:51,3,Pw4,1,4013,8298,5914,3992,4242,3447,3001,2519,2392,2989,1640,4117,4938,1.3693,0.9443,0.8959,0.8844,0.721,0.7032,0.7639,0.8388,0.9052,0.7128,0.6734,0.4945,0.4606,Measure
2026/05/15 09:05:51,2,Pw5,1,5728,6378,2823,1764,2749,4008,4252,4592,4762,5648,7043,7592,7910,1.3641,0.9429,0.8952,0.8835,0.7202,0.7029,0.7639,0.8391,0.9056,0.7131,0.6736,0.4949,0.461,Measure
2026/05/15 09:05:51,1,Pw6,1,5285,8552,6143,4119,4266,3287,2904,2433,2220,3091,1534,4239,5112,1.3587,0.9365,0.8888,0.878,0.715,0.6978,0.7589,0.8341,0.9008,0.7089,0.67,0.4913,0.4577,Measure
2026/05/15 09:05:51,88,Pw7,1,1222,2517,574,1899,2544,2980,2845,2566,2265,1937,3163,1752,1683,1.3775,0.9554,0.9059,0.8926,0.7284,0.7098,0.7702,0.8447,0.9108,0.7177,0.6777,0.4986,0.4644,Measure
2026/05/15 09:06:00,7,Pw1,1,3490,7822,6432,6241,8048,8208,7686,7109,6673,9313,8042,13230,14808,1.3663,0.9445,0.8958,0.8842,0.7213,0.7037,0.7648,0.84,0.9067,0.7153,0.676,0.4977,0.4648,Measure
2026/05/15 09:06:00,6,Pw2,1,4067,7750,5821,4240,4634,3838,3452,3055,3059,3725,3016,5220,5960,1.361,0.9418,0.8942,0.8829,0.72,0.7028,0.7639,0.8392,0.9058,0.714,0.6748,0.496,0.4629,Measure
2026/05/15 09:06:00,5,Pw3,1,2727,4380,2059,815,858,627,591,558,761,1299,565,2744,3937,1.3749,0.9507,0.9012,0.8891,0.7256,0.7075,0.7682,0.8429,0.9093,0.717,0.6771,0.4986,0.4647,Measure
2026/05/15 09:06:00,4,Pw4,1,4069,7933,5336,3629,3996,3230,2898,2455,2403,3214,1856,4695,5579,1.3597,0.9366,0.8887,0.8779,0.7151,0.6978,0.7588,0.8341,0.9008,0.7092,0.6701,0.4917,0.4582,Measure
2026/05/15 09:06:00,3,Pw5,1,3769,8126,5895,3914,4071,3232,2842,2423,2347,2872,1540,3960,4919,1.3696,0.9447,0.8961,0.8845,0.721,0.7032,0.7639,0.8388,0.9052,0.7128,0.6733,0.4945,0.4606,Measure
2026/05/15 09:06:00,2,Pw6,1,5932,6553,2986,1933,3077,4370,4670,4962,5141,6119,7534,8272,8578,1.3641,0.9428,0.8951,0.8836,0.7203,0.7029,0.764,0.8392,0.9058,0.7132,0.6738,0.495,0.4612,Measure
2026/05/15 09:06:00,1,Pw7,1,5195,8528,6020,4144,4273,3328,2864,2440,2427,3063,1543,4306,5009,1.3584,0.9362,0.8886,0.8778,0.7149,0.6976,0.7587,0.834,0.9006,0.7088,0.6699,0.4912,0.4576,Measure
2026/05/15 09:06:09,8,Pw1,1,5455,9708,8294,6744,7737,7021,6527,5864,5573,6876,6075,9042,10099,1.3551,0.9372,0.89,0.8791,0.7164,0.6994,0.7606,0.8359,0.9028,0.7111,0.672,0.4934,0.4604,Measure
